"id","domain","capability","status","impact","backstory_evidence","n8n_evidence","finding"
"SEC-01","credentials and security","OAuth client authorization code","strong","high","src/lib/mcp/oauth-authcode.ts; src/app/api/mcp-connections/oauth","packages/cli/src/controllers/oauth/oauth2-credential.controller.ts","Backstory can securely connect to OAuth authorization servers with discovery PKCE encrypted state refresh and SSRF guards."
"SEC-02","credentials and security","OAuth authorization server","gap","high","src/lib/public-api/client-credentials.ts","packages/cli/src/modules/oauth-server","Backstory only issues client-credentials access tokens; it does not host authorization-code consent clients codes refresh tokens and protected-resource gates."
"SEC-03","credentials and security","Dynamic per-user credentials","gap","high","prisma/schema.prisma","packages/cli/src/modules/dynamic-credentials.ee","No workflow credential resolver that prompts each user to authorize and stores per-user connections behind a shared credential."
"SEC-04","credentials and security","External secret stores","gap","high","src/lib/crypto/secrets.ts","packages/cli/src/modules/external-secrets.ee","No Vault/AWS/Azure/GCP-style provider connections project scoping sync cache completions or expression-backed secrets."
"SEC-05","credentials and security","Encryption key rotation","partial","high","scripts/rotate-encryption-key.ts; src/lib/crypto/secrets.ts","packages/cli/src/modules/encryption-key-manager","Backstory has application encryption and a rotation script but not the same managed key lifecycle module."
"SEC-06","credentials and security","Secret redaction","strong","high","src/lib/logging/redact.ts; src/lib/flows/run-data-guard.ts; src/lib/flows/secret-redaction.ts","packages/cli/src/modules/redaction","Backstory scans graph literals and redacts logs run inputs outputs warnings and exports."
"SEC-07","credentials and security","Credential ownership scope and revocation","strong","high","src/lib/credentials; src/lib/authz/credential-owner-guard.ts","packages/cli/src/credentials-helper.ts","Backstory explicitly binds new credentials to people tracks granted scopes lifetime anomalies dependents and revocation quarantine."
"SEC-08","credentials and security","Credential schema test and OAuth breadth","gap","high","src/app/api/http-credentials; src/lib/nango","packages/nodes-base/credentials; packages/@n8n/nodes-langchain/credentials","Generic HTTP and Nango do not reproduce 445 declared credential field/test/auth schemas."
"PLAT-01","platform","RBAC sharing folders and visibility","strong","high","src/lib/authz; prisma/schema.prisma","packages/cli/src/permissions.ee; packages/cli/src/workflows","Backstory has workspace roles flow collaborators private/shared visibility folders and scoped credentials."
"PLAT-02","platform","SSO MFA and SCIM","strong","high","src/lib/auth; src/lib/scim; prisma/schema.prisma","packages/cli/src/modules/sso-oidc; packages/cli/src/modules/sso-saml; packages/cli/src/modules/provisioning.ee","Backstory supports enterprise identity providers enforcement MFA domains and SCIM provisioning/deprovisioning."
"PLAT-03","platform","Audit trail","strong","high","src/lib/audit.ts; prisma/schema.prisma","packages/cli/src/eventbus","Backstory records durable tenant-scoped audit events over security and workflow actions."
"PLAT-04","platform","External audit/log streaming","partial","high","src/lib/audit/stream.ts; src/lib/audit/stream-delivery.ts","packages/cli/src/modules/log-streaming.ee","Backstory signs SSRF-guarded HTTPS deliveries through an outbox but lacks n8n destination breadth and event-bus controls."
"PLAT-05","platform","OpenTelemetry workflow tracing","gap","medium","src/lib/logger.ts; package.json","packages/cli/src/modules/otel","Sentry/logging exist but no OTLP SDK lifecycle workflow spans settings API and trace context propagation."
"PLAT-06","platform","Git source-control environments","gap","high","src/lib/flows/native-package.ts","packages/cli/src/modules/source-control.ee","Import/export and versions exist but no Git remote branch SSH key push pull status conflict resource sync or protected instance."
"PLAT-07","platform","Workflow favorites","partial","low","src/components/flows/flow-picker.tsx","packages/cli/src/modules/favorites","Backstory favorites are localStorage picker shortcuts rather than a durable shared workflow favorite feature."
"PLAT-08","platform","Execution insights","partial","medium","prisma/schema.prisma; src/lib/usage","packages/cli/src/modules/insights","Backstory tracks run duration cost usage and adoption but lacks n8n's complete workflow time-saved and insights reporting surface."
"PLAT-09","platform","Instance registry and version history","gap","low","src/lib/server/snapshot-version.ts","packages/cli/src/modules/instance-registry; packages/cli/src/modules/instance-version-history","No equivalent multi-instance registration heartbeat/version history product."
"PLAT-10","platform","Runtime credentials","gap","medium","src/lib/credentials","packages/cli/src/modules/runtime-credentials","No distinct runtime credential injection/resolution module comparable to n8n's."
"PLAT-11","platform","OAuth JWE and token exchange","partial","medium","src/lib/public-api/client-credentials.ts","packages/cli/src/modules/oauth-jwe; packages/cli/src/modules/token-exchange","Short-lived client-credentials tokens exist without the same JWE and token-exchange modules."
"PLAT-12","platform","Quick Connect","gap","low","src/app/connections","packages/cli/src/modules/quick-connect","No n8n quick-connect installation and credential bootstrap module."
"PLAT-13","platform","Package and node policy infrastructure","gap","medium","src/lib/flows/builtin-catalog.ts","packages/cli/src/modules/policy-infrastructure; packages/cli/src/modules/type-availability-policies; packages/cli/src/modules/n8n-packages","No generalized policy engine for installed/available package node and credential types."
"PLAT-14","platform","LDAP authentication","gap","low","src/lib/auth","packages/cli/src/modules/ldap.ee","Backstory supports SAML OIDC and SCIM but has no direct LDAP bind search sync or LDAP login module."
"PLAT-15","platform","Git connections for agent and workflow resources","gap","medium","src/lib/flows/native-package.ts","packages/cli/src/modules/git-connections.ee","No encrypted SSH/HTTPS Git connection entity safe clone lifecycle branch validation host-key pinning or project binding."
"PLAT-16","platform","Workflow dependency index","partial","high","src/lib/credentials/dependents.ts; src/lib/flows/validate.ts","packages/cli/src/modules/workflow-index","Backstory can find credential dependents and validates subflows but has no continuously maintained draft/published index over credentials subflows data tables error workflows agents node types and webhooks."
"PLAT-17","platform","Persistent AI workflow-builder sessions","partial","medium","src/app/api/flows/copilot; src/lib/flows/copilot-ops.ts","packages/cli/src/modules/workflow-builder","Backstory has flow copilot operations but no equivalent persisted per-workflow per-user builder session repository and thread lifecycle."
